MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
2004052DFox053105,Fox053105,SpecialReport,CableNews,2000_2018,2004052,FirstAmendment,Decision,96,0,NA,1,1,0,0,0
2004075AABC030205,ABC030205,WorldNewsTonight,NetworkNews,2000_2018,2004075,FirstAmendment,Argument,454,0,NA,1,0,1,0,0
2004075AFox030205,Fox030205,SpecialReport,CableNews,2000_2018,2004075,FirstAmendment,Argument,643,1,Identical,1,0,1,0,0
2004075CABC101204,ABC101204,WorldNewsTonight,NetworkNews,2000_2018,2004075,FirstAmendment,Cert,449,1,Identical,1,0,1,0,0
2004075DABC062705,ABC062705,WorldNewsTonight,NetworkNews,2000_2018,2004075,FirstAmendment,Decision,840,1,Identical,1,0,1,0,0
2004075DFox062705,Fox062705,SpecialReport,CableNews,2000_2018,2004075,FirstAmendment,Decision,"2,025",1,Identical,1,0,1,1,0
2004075DMSNBC062705,MSNBC062705,Hardball,CableNews,2000_2018,2004075,FirstAmendment,Decision,904,1,Identical,1,0,0,0,1
2009012PDFox061810,Fox061810,SpecialReport,CableNews,2000_2018,2009012,FirstAmendment,PostDecision,118,0,NA,3,0,1,0,0
2013070PDFox070414,Fox070414,SpecialReport,CableNews,2000_2018,2013070,FirstAmendment,PostDecision,118,0,NA,3,0,0,1,0
2015063PDMSNBC013117,MSNBC013117,Hardball,CableNews,2000_2018,2015063,FirstAmendment,PostDecision,120,1,Separate/Identical,2,0,1,0,0
2014070PDMSNBC092717,MSNBC092717,Hardball,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,120,0,NA,3,0,0,1,0
2002083PDMSNBC032513,MSNBC032513,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,127,1,Secondary,2,0,0,0,1
2004078AFox030205,Fox030205,SpecialReport,CableNews,2000_2018,2004078,FirstAmendment,Argument,643,1,Identical,1,0,1,0,0
2004078CABC101204,ABC101204,WorldNewsTonight,NetworkNews,2000_2018,2004078,FirstAmendment,Cert,449,1,Identical,1,0,1,0,0
2004078DABC062705,ABC062705,WorldNewsTonight,NetworkNews,2000_2018,2004078,FirstAmendment,Decision,840,1,Identical,1,0,1,0,0
2004078DFox062705,Fox062705,SpecialReport,CableNews,2000_2018,2004078,FirstAmendment,Decision,"2,025",1,Identical,1,0,1,1,0
2004078DMSNBC062705,MSNBC062705,Hardball,CableNews,2000_2018,2004078,FirstAmendment,Decision,904,1,Identical,1,0,0,0,1
